Issue Type,Issue key,Issue id,Parent id,Component/s,Summary
Bug,ACUMOS-2102,12508,,portal-marketplace,IST2: Different name is displaying on the model tile on marketplace and manage my model screen for multiple user
Bug,ACUMOS-2074,12480,,portal-marketplace,Portal marketplace tile has unnecessary constant text
Story,ACUMOS-2073,12479,,portal-marketplace,Portal require author and default to user when publishing to any catalog
Bug,ACUMOS-2056,12462,,portal-marketplace,"Portal displays incorrect person detail on tile, shows Admin instead of author"
Bug,ACUMOS-2008,12414,,portal-marketplace,On-Boarding Model contains links to docs.acumos.org/en/latest instead of docs.acumos.org/en/athena
Bug,ACUMOS-1988,12394,,portal-marketplace,ADC-Staging - Logged in user not matching name on black bar
Story,ACUMOS-1953,12359,,portal-marketplace,Portal don't show first-time user Tag/Theme selection dialog
Bug,ACUMOS-1933,12339,,portal-marketplace,"IST: Newly Added tag is not displaying on the model tiles (marketplace , manage my model) when user published the model"
Bug,ACUMOS-1916,12322,,on-boarding,<IST2> <Onboarding> API token authentication not working for Java model when onboarded through CLI
Story,ACUMOS-1818,12162,,portal-marketplace,Portal improve power of Marketplace left-side seach-by-keyword field
Bug,ACUMOS-1653,11838,,portal-marketplace,IST2: Deploy to Local : Download packages and help is not working on the popup

